Make,Model,Year,Mileage,ImportHistory,FuelEconomy
mitsubishi,outlander,2013,"144,800km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"98,527km",Imported,"1998cc, Plug-in hybrid, Automatic"
mitsubishi,outlander,2013,"73,500km",N/A,"1998cc, Plug-in hybrid, Automatic"
mercedes-benz,cla-45,2013,"57,700km",Imported,"2000cc, Petrol, Automatic"
mercedes-benz,a-180,2013,"60,851km",Imported,"1600cc, Petrol, Automatic"
mazda,cx-5,2013,"72,345km",Imported,"2200cc, Diesel, Automatic"
mazda,cx-5,2013,"82,716km",Imported,"2200cc, Diesel, Automatic"
land-rover,range-rover-sport,2013,"69,100km",Imported,"2993cc, Diesel, Automatic"
land-rover,range-rover-evoque,2013,"26,593km",Imported,"2000cc, Petrol, Automatic"
kia,sorento,2013,"78,600km",Imported,"2198cc, Diesel, Automatic"
kia,sorento,2013,"99,550km",New Zealand New,"2199cc, Diesel, Automatic"
holden,commodore,2013,"141,100km",New Zealand New,"5967cc, Petrol, Automatic"
bmw,x5,2013,"77,639km",Imported,"3000cc, Diesel, Automatic"
bmw,x5,2013,"77,639km",Imported,"3000cc, Diesel, Automatic"
volvo,xc60,2012,"69,800km",Imported,"2000cc, Petrol, Automatic"
volvo,xc60,2012,"28,030km",Imported,"2000cc, Petrol, Automatic"
volkswagen,golf,2012,"56,000km",Imported,"1390cc, Petrol, Automatic"
toyota,prius,2012,N/A,Imported,N/A
toyota,prius,2012,"38,800km",New Zealand New,"1797cc, Hybrid, Automatic"
toyota,prius,2012,"155,000km",Imported,"1800cc, Hybrid, Automatic"
toyota,prius,2012,"97,522km",N/A,"1800cc, Hybrid, Automatic"
toyota,prius,2012,"81,634km",N/A,"1800cc, Plug-in hybrid, Automatic"
toyota,prius,2012,"75,201km",N/A,"1800cc, Petrol, Automatic"
toyota,aqua,2012,"86,500km",Imported,"1497cc, Hybrid, Automatic"
mitsubishi,pajero,2012,"101,000km",N/A,"3200cc, Diesel, Automatic"
mitsubishi,pajero,2012,"91,000km",N/A,"3200cc, Diesel, Automatic"
mitsubishi,lancer,2012,"97,000km",N/A,"2000cc, Petrol, Manual"
mercedes-benz,r-350,2012,"81,200km",Imported,"3498cc, Petrol, Automatic"
mercedes-benz,ml-350,2012,"66,223km",Imported,"3500cc, Petrol, Automatic"
mercedes-benz,c-180,2012,"67,689km",Imported,"1790cc, Petrol, Automatic"
lexus,rx-450h,2012,"65,582km",N/A,"3456cc, Hybrid, Automatic"
lexus,ls-600,2012,"93,956km",Imported,"4969cc, Hybrid, Automatic"
lexus,gs-250,2012,"77,150km",Imported,"2500cc, Petrol, Automatic"
lexus,gs-250,2012,"45,200km",Imported,"2500cc, Petrol, Automatic"
land-rover,range-rover,2012,"84,200km",Imported,"2993cc, Diesel, Automatic"
jaguar,xf,2012,"62,200km",Imported,"2967cc, Petrol, Automatic"
hyundai,santa-fe,2012,"139,000km",New Zealand New,"2199cc, Diesel, Automatic"
bmw,x5,2012,"157,100km",New Zealand New,"2993cc, Diesel, Automatic"
bmw,x3,2012,"21,800km",Imported,"1997cc, Petrol, Automatic"
